name,price,price_Y
The Secret Healer,£34.56,￥294.83
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",£54.12,￥461.69
The Republic,£33.78,￥288.17
The Odyssey,£29.64,￥252.86
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,￥492.23
The Nicomachean Ethics,£36.34,￥310.01
The Name of the Wind (The Kingkiller Chronicle #1),£50.59,￥431.58
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38,￥250.64
The Little Prince,£45.42,￥387.47
The Light of the Fireflies,£54.43,￥464.34
The Last Girl (The Dominion Trilogy #1),£36.26,￥309.33
The Iliad,£16.16,￥137.86
The Hook Up (Game On #1),£36.29,￥309.59
The Haters,£27.89,￥237.93
The Girl You Lost,£12.29,￥104.84
The Girl In The Ice (DCI Erika Foster #1),£15.85,￥135.21
The End of the Jesus Era (An Investigation #1),£14.40,￥122.84
The Edge of Reason (Bridget Jones #2),£19.18,￥163.62
The Complete Maus (Maus #1-2),£10.64,￥90.77
The Communist Manifesto,£14.76,￥125.92
The Bhagavad Gita,£57.49,￥490.44
The Bette Davis Club,£30.66,￥261.56
The Art of Not Breathing,£40.83,￥348.32
Taking Shots (Assassins #1),£18.88,￥161.06
Starlark,£25.83,￥220.35
"Skip Beat!, Vol. 01 (Skip Beat! #1)",£42.12,￥359.32
Sister Sable (The Mad Queen #1),£13.33,￥113.72
Shatter Me (Shatter Me #1),£42.40,￥361.71
Shameless,£58.35,￥497.78
Shadow Rites (Jane Yellowrock #10),£21.72,￥185.29
Settling the Score (The Summer Games #1),£44.91,￥383.12
Sense and Sensibility,£37.46,￥319.57
"Saga, Volume 1 (Saga (Collected Editions) #1)",£28.48,￥242.96
"Rhythm, Chord & Malykhin",£28.34,￥241.77
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",£46.96,￥400.61
Paradise Lost (Paradise #1),£24.96,￥212.93
"Paper Girls, Vol. 1 (Paper Girls #1-5)",£21.71,￥185.21
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",£29.87,￥254.82
Origins (Alphas 0.5),£28.99,￥247.31
One Second (Seven #7),£52.94,￥451.63
On the Road (Duluoz Legend),£32.36,￥276.06
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66,￥474.83
Off Sides (Off #1),£39.45,￥336.54
Of Mice and Men,£47.11,￥401.89
Myriad (Prentor #1),£58.75,￥501.19
My Perfect Mistake (Over the Top #1),£38.92,￥332.02
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",£39.39,￥336.03
Meditations,£25.89,￥220.87
Matilda,£28.34,￥241.77
Lost Among the Living,£27.70,￥236.31
Lord of the Flies,£24.89,￥212.33
Listen to Me (Fusion #1),£58.99,￥503.24
Kitchens of the Great Midwest,£57.20,￥487.97
Jane Eyre,£38.43,￥327.84
Imperfect Harmony,£34.74,￥296.36
Icing (Aces Hockey #2),£40.44,￥344.99
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",£45.24,￥385.94
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,￥298.24
"Giant Days, Vol. 1 (Giant Days #1-4)",£56.76,￥484.21
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28,￥343.62
Frankenstein,£38.00,￥324.17
Forever Rockers (The Rocker #12),£28.80,￥245.69
Fighting Fate (Fighting #6),£39.24,￥334.75
Emma,£32.93,￥280.92
"Eat, Pray, Love",£51.32,￥437.81
Deep Under (Walker Security #1),£47.09,￥401.72
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42,￥242.45
Charlie and the Chocolate Factory (Charlie Bucket #1),£22.85,￥194.93
Charity's Cross (Charles Towne Belles #4),£41.24,￥351.81
Bright Lines,£39.07,￥333.30
Bridget Jones's Diary (Bridget Jones #1),£29.82,￥254.39
Bounty (Colorado Mountain #7),£37.26,￥317.86
Blood Defense (Samantha Brinkman #1),£20.30,￥173.18
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65,￥295.60
Beyond Good and Evil,£43.38,￥370.07
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,￥473.72
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06,￥486.77
A Spy's Devotion (The Regency Spies of London #1),£16.97,￥144.77
1st to Die (Women's Murder Club #1),£53.98,￥460.50
"1,000 Places to See Before You Die",£26.08,￥222.49
